idx,title,genres
66,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",0|1|8|64
67,The Lego Movie (2014),0|1|22|23|53|79
68,Terminator Genisys (2015),1|4|20|22|29|38|113
69,Christmas Vacation (1989),12|23|64
70,Homeward Bound II: Lost in San Francisco (1996),2|25|53
71,Oliver & Company (1988),8|12|32|49|50|53
72,The Cat in the Hat (2003),0|8|53
73,Star Wars: Episode VI - Return of the Jedi (1983),0|1|2|4
74,Wallace & Gromit: A Close Shave (1995),0|23|53
75,Rebel Without a Cause (1955),5|26|37
76,Raw Deal (1986),1|6|16
77,Star Wars: Episode III - Revenge of the Sith (2005),0|1|2|4|22
78,Strangers on a Train (1951),5|6|8|14|35|52|58
79,Kindergarten Cop (1990),1|23|42|106
80,The Nightmare Before Christmas (1993),0|49|56|64
81,Monsters vs. Aliens (2009),1|4|56
82,The Incredible Hulk (2008),1|2|4|46
83,Star Wars: Episode V - The Empire Strikes Back (1980),0|1|2|9
84,Alien (1979),4|13
85,A Streetcar Named Desire (1951),5
86,Solo: A Star Wars Story (2018),0|1|4|38|115
87,Rashomon (1950),5|16|28
88,Despicable Me (2010),23
89,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),0|1|8
90,An American in Paris (1951),49
91,The Bridge on the River Kwai (1957),5|8|10
92,Garfield: The Movie (2004),12|23|92
93,That Darn Cat! (1965),23|53
94,Cats & Dogs (2001),0|1|2|4|12|23|53
95,X-Men: First Class (2011),0|1|4|37|46
96,Apocalypse Now (1979),1|5|8|10
97,Beethoven (1992),23|64|74
98,Horrible Bosses (2011),23
99,Nacho Libre (2006),12|23
100,The Martian (2015),1|2|4|5|8|44
101,The Karate Kid (1984),1|5|26|37|55|67
102,Mission: Impossible (1996),1|6|34|48
103,Iron Man (2008),1|2|4|46
104,The Man with Two Brains (1983),4|13|23|62|73|81
105,Guardians of the Galaxy (2014),1|2|4|23|46
106,I Am Legend (2007),1|5|8|20|78|103
107,Quantum of Solace (2008),1|2|48
108,Gone Girl (2014),5|8|16|35|52
109,District 9 (2009),1|4|5|6|22|38
110,Secondhand Lions (2003),5|23|26
111,Life of Pi (2012),0|2|5|8
112,Twilight Zone: The Movie (1983),0|4|5|13
113,The Grand Budapest Hotel (2014),2|5|16|23|55
114,The Bourne Ultimatum (2007),1|8|21|35|48
115,The Incredibles (2004),46
116,"Good Morning, Vietnam (1987)",10|23|32
117,Safety Not Guaranteed (2012),4|23|25|26
118,National Lampoon's Van Wilder (2002),25|26|37
119,Django Unchained (2012),5|51
120,The World's End (2013),1|4|25|41|81
121,22 Jump Street (2014),1|23|37|42
122,Talladega Nights: The Ballad of Ricky Bobby (2006),1|17|23
123,Knowing (2009),1|4|35|40
124,Star Trek IV: The Voyage Home (1986),2|4|81
125,Baywatch (2017),1|23
126,"Definitely, Maybe (2008)",25|32
127,Maze Runner: Scorch Trials (2015),0|1|5|8|20|22|35
128,Hugo (2011),0|2|5|8|35
129,Superman (1978),1|4|46
130,Fantastic Four: Rise of the Silver Surfer (2007),0|1|4|46
131,Fools Rush In (1997),25|32
132,Now You See Me 2 (2016),1|2|6|16|23|34|35
133,Get the Gringo (2012),1|5|16|18|52
134,A Clockwork Orange (1971),4|5|6|8|16|18|22|35|38
135,The Hobbit: The Desolation of Smaug (2013),0|1|2|8|31
136,Four Weddings and a Funeral (1994),5|17|25
137,Kill Bill: Vol. 2 (2004),1|6|67|68
138,Slumdog Millionaire (2008),5|8|16|26|55
139,Daredevil (2003),1|5|6|46|52|67|69
140,An Inconvenient Truth (2006),109
141,The Wolf of Wall Street (2013),5|8|11|16|23
142,Miracle on 34th Street (1947),0|5|23|64
143,Back to the Future (1985),2|4|23|37|38
144,Ali (2001),5|11
145,Starship Troopers (1997),1|4|6|8|22|56|85
146,High School Musical (2006),5|25|37|49|53
147,Interstellar (2014),2|4|5|22
148,Coraline (2009),0|8|13|128
149,Up (2009),0|2|23
150,The Iron Giant (1999),0|1|4|5|8|32|53
151,Monty Python and the Holy Grail (1975),0|2|23|61|62|63
152,Liar Liar (1997),23|93
153,Forrest Gump (1994),5|8|23|24|25|26|27|28
154,Sausage Party (2016),2|17|22|23|104
155,The Shape of Water (2017),0|5|6|38|54|55
156,The Shining (1980),5|8|13|15|35|76
157,The Matrix (1999),1|4|6|19|20|21|22
158,The Dark Knight Rises (2012),1|5|6|46|52
159,E.T. the Extra-Terrestrial (1982),4|5|53
160,The Lord of the Rings: The Return of the King (2003),0|1|5|8
161,The Great Dictator (1940),5|10|32|62
162,Dark City (1998),4|6|13|22|36
163,Ender's Game (2013),0|1|2|4|8|37|53
164,The Hunger Games: Mockingjay - Part 2 (2015),1|4|5|10|22
165,Constantine (2005),0|5|13|46
166,"Batman: The Dark Knight Returns, Part 1 (2012)",1|4|22
167,Event Horizon (1997),2|4|13
168,Metropolis (2001),4|5|8|22|119
169,The Matrix Reloaded (2003),1|4|6|19|67
170,V for Vendetta (2005),6|9|17|20|21|22|69|75|83
171,Captain America: The First Avenger (2011),1|4|10|46
172,The Hunchback of Notre Dame (1996),0|5|8|12|32|49|50
173,Star Trek (2009),1|2|4
174,Batman v Superman: Dawn of Justice (2016),1|4|46|79
175,The Lord of the Rings: The Two Towers (2002),0|1|5|8
176,Treasure Planet (2002),3
177,Hulk (2003),1|4|5
178,28 Weeks Later (2007),1|5|13|20|103
179,Charlie and the Chocolate Factory (2005),0|8|39|49|53
180,Minority Report (2002),1|4|22|29|38
181,Thor (2011),0|1|2|4|46
182,Wonder Woman (2017),0|1|2|5|10|38|46
183,The Ring (2002),6|8|13|15|35|76
184,Rogue One: A Star Wars Story (2016),0|1|3|4|10
185,War of the Worlds (2005),1|4|5|6|8|13|40|41
186,Avengers: Age of Ultron (2015),1|2|4|46
187,WALL·E (2008),2|4|20|22|23|25|28|53|55|81
188,Edward Scissorhands (1990),0|4|5|13|23|55|64
189,The Lord of the Rings (1978),0|8
190,The Matrix Revolutions (2003),1|4|9|19
191,The Hunger Games: Catching Fire (2012),1|2|4|5|8|22
192,World War Z (2013),5|6|8|9|20|21|82|103
193,Star Trek: Generations (1994),1|2|4|79
194,John Wick: Chapter Two (2017),1|6|16
195,The Mummy (1999),0|1|13|31
196,Toy Story (1995),0|12
197,Guardians of the Galaxy 2 (2017),1|2|4|23|46
198,Catwoman (2004),0|1|6|46
199,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),62|100
200,The Day of the Doctor (2013),84|137
201,King Kong (2005),1|2|5|55
202,The Fifth Element (1997),0|1|2|4|22|23
203,Ocean's Eleven (2001),1|2|23|34|35
204,"10,000 BC (2008)",0|1|2|4|5
205,Aliens (1986),1|2|4|6
206,Bright (2017),0|1|16
207,End of Days (1999),0|1|6|13|22
208,1408 (2007),5|6|13|15
209,The Passion of the Christ (2004),5|11
210,Ant-Man and the Wasp (2018),1|2|4|23|46
211,Star Wars: The Last Jedi (2017),0|1|2|3|4|38
212,Pinocchio (1940),0|8|12|26|49|50
213,Shrek (2001),0|1|8|12
214,Ice Age (2002),0|53
215,Captain America: Civil War (2016),46
216,Superbad (2007),23
217,Schindler's List (1993),5|8|10|11
218,Police Academy (1984),16|23
219,Ant-Man (2015),1|2|4|23|46
220,Grown Ups (2010),12|23
221,X-Men Origins: Wolverine (2009),1|4|46
222,Hotel Transylvania (2012),56|73|78|103
223,Arrival (2016),4|5|6|35
224,Inspector Gadget (1999),1|23
225,Blade Runner (1982),1|4|5|6|8|19|22|29|36|57|58
226,Spider-Man (2002),4|5|26
227,Shooter (2007),1|8|35|69|75
228,The Sum of All Fears (2002),1|5|6|8|48|75|82
229,Excalibur (1981),0|1|5|8
230,Grandma's Boy (2006),23
231,Snow White and the Huntsman (2012),0|1|5
232,Let Me In (2010),0|5|8|13|26|35|55|78
233,Submarine (2010),5|25|26|37
234,The Texas Chainsaw Massacre (1974),13|131
235,The Flintstones (1994),0|12|23
236,Steel Magnolias (1989),5|32|97
237,Home Alone (1990),2|23|53|64
238,Les Misérables (2012),5|8|49|55
239,Baby Driver (2017),1|2|60|94
240,The Girl with the Dragon Tattoo (2011),5|6|8|13|17|35|52|70
241,Zombieland (2009),12|13|20|73|113|114
242,Warm Bodies (2013),8|20|25|37|73|114
243,Adventureland (2009),5|25|26|32|37
244,Never Been Kissed (1999),25|26|37
245,Pitch Perfect (2012),17|25|37|49|97
246,The Black Dahlia (2006),5|8|16|17|35|36|58
247,The Imitation Game (2014),5|10|11|17|45|107
248,The Great Gatsby (2013),5|8|55
249,The Prestige (2006),0|5|6|8|35
250,Jason Bourne (2016),1|6|35
251,The Accountant (2016),1|5|6|16|35
252,Source Code (2011),1|4|5|6|35|38
253,A Quiet Place (2018),4|6|13
254,Get Out (2017),1|6|13|33|35|73
255,Inside Out (2015),0|2|5|23|32|74|104
256,Chasing Liberty (2004),25|37
257,Now You See Me (2013),16|34
258,Kingsman: The Secret Service (2014),1|16|23|48|60
259,The Descendants (2011),5|32
260,The Holiday (2006),23|25|64
261,Up in the Air (2009),5|8|25
262,Dead Poets Society (1989),5|26|37
263,The Departed (2006),5|52
264,The Social Network (2010),5|8|11|93
265,The Nice Guys (2016),23|35|42
266,The Twilight Saga: New Moon (2009),0|1|5|8|13|37|55|78
267,Mad Max: Fury Road (2015),1|2|4|6|20|22
268,Harry Potter and the Deathly Hallows: Part 2 (2011),0|8
269,27 Dresses (2008),25
270,A.I. Artificial Intelligence (2001),4|5|8|20
271,The Shawshank Redemption (1994),5|8|12|16|18
272,Pirates of the Caribbean: At World's End (2007),0|1|2|23|32|59|77
273,The Rum Diary (2011),5|8|23
274,Lethal Weapon 4 (1998),1|6|12|42|67
275,2 Fast 2 Furious (2003),1|16|52
276,Cocoon (1985),0|4|5|8|23
277,Paul Blart: Mall Cop (2009),23|34|60
278,Pan's Labyrinth (2006),0|5
279,Crossroads (2002),5|25|26|32|37|97
280,Rosencrantz and Guildenstern Are Dead (1990),5|8|12|23|32
281,Four Lions (2010),39|80
282,Changeling (2008),5|16|35
283,The Jungle Book (1994),0|2|5|8
284,Milk (2008),5|11|17
285,This Is the End (2013),0|12|23|40
286,Hacksaw Ridge (2016),5|10|11|55
287,The English Patient (1996),5|8|10|28|55
288,Seeking a Friend for the End of the World (2012),4|5|25|40|81
289,Fandango (1985),32
290,Fatal Attraction (1987),5|6|14|35|87|102
291,A League of Their Own (1992),23|32|97
292,Indiana Jones and the Temple of Doom (1984),1|2|31
293,Groundhog Day (1993),0|4|23|25|32|55
294,The Way of the Gun (2000),1|5|34
295,Robin Hood: Men in Tights (1993),1|23|62
296,Bad Boys (1995),1|6|12|23|34|42|95
297,Cloverfield (2008),1|4|13|40|124
298,City of God (2002),5|8|16|26|95
299,Immortals (2011),0|1|2|5
300,Transformers: Dark of the Moon (2011),1|4|6|41
301,The Wedding Ringer (2015),25
302,Noah (2014),0|2|5|38|77
303,Goodfellas (1990),5|8|11|16
304,World Trade Center (2006),5|40|43
305,The Internship (2013),5|23
306,Monty Python's And Now for Something Completely Different (1971),23
307,Focus (2015),5|16|25|32
308,Paul (2011),4|12|62|81
309,Alice (1990),0|25|64
310,Thank You for Smoking (2005),5|8|23|32
311,Suicide Squad (2016),0|1|2|4|18|46|69
312,Aladdin (1992),23|49|50
313,Be Cool (2005),16|17|23
314,Anger Management (2003),17|23
315,Herbie Goes Bananas (1980),23|53
316,Eternal Sunshine of the Spotless Mind (2004),4|5|25|32|72
317,What a Girl Wants (2003),25|26|37
318,Peter Pan (2003),0|8|53
319,My Boss's Daughter (2003),25
320,Killing Them Softly (2012),1|5|8|52
321,Johnny Mnemonic (1995),1|4|8
322,Jade (1995),1|5|16|102
323,The Little Mermaid (1989),0|49|50|53|54|55|104
324,Beerfest (2006),23
325,Tangled (2010),0|23|26|49|117
326,Enemy of the State (1998),1|6|75
327,Kung Fu Panda 2 (2011),23|28
328,Chain Reaction (1996),1|4|5|6
329,Munich (2005),5|8|48|75
330,About Last Night... (1986),25|32
331,Killer Klowns from Outer Space (1988),4|13|23|41|73
332,Vacation (2015),2|23
333,Frozen (2013),0|8|23|26|32|49|117
334,Salt (2010),1|6|35|48|68
335,Plan 9 from Outer Space (1959),4|13|38|41|103
336,The Secret World of Arrietty (2010),0|8|53|119
337,Untitled Spider-Man Reboot (2017),1|4|23|46
338,Unbroken (2014),5|8|10|11
339,Avatar (2009),1|2|4|84|85|86
340,Wreck-It Ralph (2012),0|2|4|23|32|74|79|117
341,Coco (2017),0|2|5|33|49|74
342,Live Free or Die Hard (2007),1|12|21|42
343,Herbie Goes to Monte Carlo (1977),1|23|53
344,Thor: Ragnarok (2017),0|1|2|4|23|46
345,Dirty Work (1998),12|23
346,King Kong (1976),0|1|4|5|13
347,Alien³ (1992),2|4|13|18
348,John Carter (2012),0|1|2|4|8|38|59
349,Elysium (2013),1|4|5|6|9|21|22
350,Harold and Kumar Go to White Castle (2004),12|23
351,Fantastic Four (2015),0|1|2|4|46
352,Toy Story 2 (1999),0|12|28
353,Straight Outta Compton (2015),5|11|16|49|95
354,Terminator 2: Judgment Day (1991),1|4|5|6|20|22
355,Edge of Tomorrow (2014),4|8|9|22|85
356,Star Wars: Episode II - Attack of the Clones (2002),0|1|2|4
357,Zootopia (2016),2|35|42|60|74|117
358,Night at the Museum: Secret of the Tomb (2014),0|1|2|23
359,Léon: The Professional (1994),1|5|7|12|35|52
360,R.I.P.D. (2013),0|1|4|23|42
361,The Chronicles of Narnia: Prince Caspian (2008),0|1|8
362,The Terminator (1984),1|4|5|20|22|29|38|56
363,Captain America: The Winter Soldier (2014),1|2|4|46
364,Casino Royale (2006),1|8|48
365,Ex Machina (2014),4|5|14
366,The Mask (1994),0|7|23|38|46
367,Yes Man (2008),8|25
368,Star Wars: Episode IV - A New Hope (1977),0|1|2|3|4
369,Hitch (2005),25
370,Enchanted (2007),0|23|25|49|74
371,Over the Hedge (2006),2|12|23|34|53
372,The Host (2013),0|1|2|4|5|6|8|20|22|41|55
373,The Switch (2010),25|32
374,Mamma Mia! (2008),25|49
375,Days of Summer (2009),23|25|26|32
376,Batman Begins (2005),1|5|16|36|46|52
377,102 Dalmatians (2000),0|23|53
378,Star Wars: Episode VII - The Force Awakens (2015),0|1|2|3|4|38
379,Judge Dredd (1995),1|4|22
380,Black Swan (2010),5|6|13|14|15|17
381,Old Boy (2003),5|6|35
382,Princess Mononoke (1996),0|1|5|91|111
383,Thunderball (1965),1|6|8|48
384,Walk the Line (2005),5|11|28|49
385,The Quiet Man (1952),5|25
386,Mystery Science Theater 3000: The Movie (1996),2|4|81
387,The Amazing Spider-Man 2 (2014),1|4|6|37|46
388,Zoolander (2001),23
389,The Boys from Brazil (1978),4|6|8|16|75
390,Total Recall (1990),1|2|4|8|22|38
391,Saving Mr. Banks (2013),5|11|28
392,Labyrinth (1986),0|2|26|49|53
393,Chappie (2015),4|5|6|22|23|32|60|81
394,The Lion King (1994),5|49|50|53
395,The Borrowers (1997),0|8|23|53
396,American Pie (1999),25|26|37
397,Divergent (2014),1|2|8|20|22|55
398,How to Train Your Dragon (2010),0|2|8|53
399,Spartacus (1960),1|5|8|10|11|17|45|55|77
400,Stuart Little 2 (2002),8|23|53
401,The Lord of the Rings: The Fellowship of the Ring (2001),0|1|2|5
402,Monsters University (2013),0|23|53|56
403,The Amazing Spider-Man (2012),1|4|6|37|46
404,Pocahontas (1995),0|11|32|49|50|55
405,The Adventures of Tintin (2011),0|1|2|31|35
406,The Transporter (2002),1|52
407,School of Rock (2003),23|49
408,Something's Gotta Give (2003),5|23|25|32
409,The Princess Diaries (2001),25|32|37|53
410,Fast Five (2011),1|16|34|52
411,Akira (1988),4|19|20|22|26|119
412,Band of Brothers,10|135
413,Bitter Moon (1992),5|6|8|32|55|87|102
414,It (2017),5|6|13|29
415,Cradle 2 the Grave (2003),1|6|34|42|67|95
416,Ernest Saves Christmas (1988),23|53|64
417,The Longest Yard (2005),5|16|18|32|60
418,"Honey, I Shrunk the Kids (1989)",4|23|81
419,Holes (2003),8|18|23|32|35|51
420,The Help (2011),5|8|32|97
421,Finding Dory (2016),2|23
422,Rent (2005),5|8|17|49
423,Superhero Movie (2008),37|46|62
424,The Goonies (1985),1|2|23|31|53
425,National Security (2003),1|12|16|23|42
426,Star Wars: Episode I - The Phantom Menace (1999),0|1|2|4
427,Grease (1978),25|37|49
428,Baby Mama (2008),23|25|97
429,Troy (2004),1|5|8|10
430,Justice League (2017),0|1|2|9|38|46
431,Rise of the Guardians (2012),0|2|64
432,Running Scared (1986),1|12|16|23|42
433,Muppet Treasure Island (1996),8|23|49|53
434,X-Men: Apocalypse (2016),0|4|9|46
435,It's Kind of a Funny Story (2010),8|23|32|37
436,Willy Wonka & the Chocolate Factory (1971),0|5|8|49|53|74
437,The Hangover Part III (2013),12|23
438,Stand by Me (1986),2|5|8|23|26|37
439,Kung Fu Panda: Secrets of the Furious Five (2009),28
440,Big (reg. Penny Marshall) (1988),0|5|25|26
441,The Lincoln Lawyer (2011),5|8|16|52|93
442,The Good Dinosaur (2015),0|2|12|23|32|74
443,La La Land (2016),5|23|32|49|55
444,Lake Placid (1999),4|12|23|56|73
445,The Big Lebowski (1998),16|23
446,Mean Girls (2004),8|17|25|37|64
447,"The Good, the Bad and the Ugly (1966)",10|31|99
448,Harry Potter and the Deathly Hallows: Part 1 (2010),0|8
449,The Silence of the Lambs (1991),5|6|8|13|14|15|16|17
450,The Bourne Supremacy (2004),1|8|21|48
451,Dancer in the Dark (2000),5|49|93
452,John Wick (2014),1|6|52
453,Das Boot (1981),5|8|10|45|89
454,Casablanca (1942),5|10|28|55
455,Spider-Man 2 (2004),1|4|5|6|46
456,Mission: Impossible - Rogue Nation (2015),1|6
457,Kingsman: The Golden Circle (2017),1|16|23|48|60
458,Silver Linings Playbook (2012),5|8|23|25|64
459,Lost in Translation (2003),5|25|139
460,Fight Club (1999),1|5|6|8|28|29|30
461,One Flew Over the Cuckoo's Nest (1975),5|8|18|23
462,Fantastic Beasts and Where to Find Them (2016),0|2|5|8|53
463,Jack and Jill (2011),17|23
464,Maleficent (2014),0|1|5
465,Anchorman: The Legend of Ron Burgundy (2004),23
466,Jurassic World (2015),1|2|4
467,American Psycho (2000),5|6|8|16|73|88
468,Sleepy Hollow (1999),0|35|76|88|105
469,The Big Short (2015),5|8|11|16|32
470,"Three Billboards Outside Ebbing, Missouri (2017)",5|16|35|39
471,Defiance (2008),5|10
472,Dodgeball: A True Underdog Story (2004),17|23|101
473,Batman Forever (1995),0|1|36|46
474,Independence Day (1996),1|4|6|21|40|41
475,Fantastic Mr. Fox (2009),8|23
476,Holiday Inn (1942),49|64
477,Unbreakable (2000),0|4|5|13|29|33|35|46
478,Vanilla Sky (2001),4|5|14|55
479,Man on Fire (2004),1|5|8|16
480,Ghost in the Shell (1995),0|1|4|19
481,Army of Darkness (1992),0|2|13|23|73|103
482,The Perfect Storm (2000),1|5|8|40
483,Scream (1996),13|23|35|37|88
484,Good Will Hunting (1997),5|26|55
485,Corpse Bride (2005),0|25|49|103
486,The Expendables (2010),1|6
487,The Sixth Sense (1999),5|6|13
488,Kung Fury (2015),1|23
489,The Dark Knight (2008),1|5|16|29|36|46|52
490,The Muppet Christmas Carol (1992),5|8|23|49|53|64
491,Scream 4 (2011),6|23|35|37|73|88
492,Jason X (2001),2|4|13|20|88
493,Hellboy II: The Golden Army (2008),0|1|13|46|56
494,Signs (2002),4|6|13|38|41
495,Furious 7 (2015),1|5|6|23|34
496,Looper (2012),1|4|5|22|52
497,Fast & Furious 6 (2013),1|6|34
498,Some Like It Hot (1959),16|17|25|49
499,Shallow Hal (2001),5|25
500,Shrek the Third (2007),0|1
501,The Hobbit: An Unexpected Journey (2012),0|1|2|8|31|77
502,13 Going on 30 (2004),0|25|26|37
503,The Boss Baby (2017),23|74
504,Let the Right One In (2008),5|8|13|17|78
505,Zookeeper (2011),25|53
506,Oblivion (2013),1|4|6|20|22|41
507,Stranger than Fiction (2006),0|5|23|55
508,Shopgirl (2005),5|8|23|55
509,The Nanny Diaries (2007),5|8|25|32|55
510,Jobs (2013),5|11
511,Raiders of the Lost Ark (1981),1|31
512,Robin Hood: Prince of Thieves (1991),1|2|5|55|59
513,Masterminds (2015),34
514,Watchmen (2009),1|5|22|36|46|69|116
515,Almost Famous (2000),5|23|26|37|49
516,Sin City (2005),1|5|16|36
517,Twin Peaks: Fire Walk with Me (1992),5|13|15|16|35
518,Taxi Driver (1976),5|14|36|69
519,Say Anything... (1989),5|25|26|37
520,Matilda (1996),0|5|8|23|53
521,Mrs. Doubtfire (1993),5|8|17|32|65
522,Spice World (1997),23|49|53|97
523,"South Park: Bigger, Longer and Uncut (1999)",49
524,The Day After Tomorrow (2004),1|20|22|40
525,Hellboy (2004),0|13|38|46|56
526,The Net (1995),6|35|82
527,Beetlejuice (1988),0|73
528,Wedding Crashers (2005),12|25
529,Black Panther (2018),1|2|4|46
530,Total Recall (2012),1|4|6|22
531,Skyfall (2012),1|21|48
532,Lucky Number Slevin (2006),1|5|36|52|106
533,Toy Story 3 (2010),12|23|28|32
534,Jarhead (2005),1|5|8|10|11
535,Red Eye (2005),5|6|35
536,No Country for Old Men (2007),5|6|7|8|16|36|52
537,Hard Candy (2005),5|6|14|16|70
538,The Illusionist (2010),5|23|26
539,Drive (2011),5|6|16|36
540,The Mist (2007),4|5|8|13|20|56
541,Fargo (1996),5|6|16|36|39
542,Don't Breathe (2016),6|13|16
543,Serenity (2005),1|2|4|5|20|22|23|38|51|115
544,Star Trek III: The Search for Spock (1984),1|2|4
545,Big Hero 6 (2014),0|1|4|12|37|117
546,The Rocky Horror Picture Show (1975),4|13|17|49|73|102
547,Blood Diamond (2006),1|5|10
548,Sherlock Holmes (2009),1|2|35|42|52
549,Rise of the Planet of the Apes (2011),1|4|5|8|22
550,The Girl with the Dragon Tattoo (2009),5|6|8|13|70
551,Click (2006),0|4|23
552,There Will Be Blood (2007),5|8
553,Avengers: Infinity War - Part I (2018),1|2|4|46
554,Seven (1995),5|6|16|35|36|42
555,Ferris Bueller's Day Off (1986),23|26|37
556,The Adventures of Rocky and Bullwinkle (2000),0|12|53|62
557,The Theory of Everything (2014),5|8|11|55
558,Oliver! (1968),5|8|16|49
559,Spectre (2015),1|2|6|48
560,The World Is Not Enough (1999),1|48
561,Hostel: Part II (2007),6|13|17|88
562,Ocean's Thirteen (2007),1|23|34
563,EuroTrip (2004),23|37
564,Black Hawk Down (2001),1|5|8|10
565,Captain Phillips (2013),1|5|11|44|52
566,Sister Act (1992),23|49
567,"Monsters, Inc. (2001)",0|12|53|56
568,Blade (1998),0|1|4|6|13|36|78
569,Robots (2005),2|4|23
570,The Princess and the Frog (2009),0|12|25|32|49|50
571,Around the World in 80 Days (2004),1|2|8|23|53
572,Ice Age: Dawn of the Dinosaurs (2009),0|28|53
573,Haywire (2011),1|16|28|35|48|52|67|68
574,The Siege (1998),1|6|16|75
575,The Recruit (2003),5|6|48
576,Screamers (1995),0|1|2|4|6|10|13|20|22
577,Galaxy Quest (1999),2|4|23|62
578,Alice in Wonderland (2010),0
579,Oz the Great and Powerful (2013),0|8
580,Elf (2003),0|23|64
581,Catch Me If You Can (2002),5|8|11|16|23|34
582,Wallace & Gromit: The Wrong Trousers (1993),23|34
583,The Magnificent Seven (1960),1|5|51|125
584,Watership Down (1978),0|2|5|8|53
585,The Devil Wears Prada (2006),5|8|32
586,Halloween (1978),5|13|37|88
587,Charlie's Angels (2000),1|23|67|97
588,Scream 2 (1997),35|73|88
589,Eyes Wide Shut (1999),5|6|8|35|64|87|102
590,Tenacious D in The Pick of Destiny (2006),23|49
591,Kung Fu Panda (2008),28
592,Chicken Run (2000),0|53
593,Sherlock Holmes: A Game of Shadows (2011),1|2|8|35|52|112
594,The Lion in Winter (1968),5|17|45|64
595,True Grit (2010),2|5|8|51
596,Surf's Up (2007),23
597,Interview with the Vampire: The Vampire Chronicles (1994),0|5|8|13|55|78
598,The Hitchhiker's Guide to the Galaxy (2005),2|4|8|23
599,Dial M for Murder (1954),16|33|35|52
600,Chronicle (2012),0|5|6|26|37|38|46
601,Night at the Museum (2006),0|8|60
602,The Wedding Singer (1998),25
603,The Sandlot (1993),23|26
604,Idiocracy (2006),4|22|23|81
605,Men in Black II (2002),1|4|23|42
606,Vampire Hunter D: Bloodlust (2000),0|13|20|78
607,The Revenant (2015),5|6|8|11|44|51
608,"Crazy, Stupid, Love. (2011)",25|26|32|37
609,Do the Right Thing (1989),5|23|95|139
610,Deadpool 2 (2018),23|38|46
611,Moneyball (2011),5|11|101
612,Moana (2016),1|2|23|32|49|117
613,Heathers (1989),23|26|35|37
614,Die Hard: With a Vengeance (1995),1|12|21|34|42
615,Pitch Perfect 2 (2015),17|23|49
616,Buffy the Vampire Slayer (1992),0|13|23|37|60|73|78
617,Argo (2012),5|11|75
